trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.9980019986673331}",25,0,-96.5523517915032,"{0: 16, 1: 6, 2: 1, 3: 0, 4: 2}",0
2,False,"{'a': 0.002, 'e': 0.9960079893439915}",25,0,-201.84394327681719,"{0: 14, 1: 5, 2: 1, 3: 1, 4: 4}",0
3,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-260.52141090961385,"{0: 7, 1: 2, 2: 4, 3: 3, 4: 4}",0
4,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-81.48282431527888,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9900498337491681}",30,0,-146.78466768884758,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.002, 'e': 0.9880717128619305}",30,0,-215.6166887785372,"{0: 14, 1: 5, 2: 7, 3: 1, 4: 3}",0
7,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,0,-100.17098175913321,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.9841273200552851}",30,0,-228.4294744496399,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
9,False,"{'a': 0.002, 'e': 0.9821610323583008}",25,0,-135.7482377646857,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.002, 'e': 0.9801986733067553}",25,0,-46.67697517225496,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.002, 'e': 0.97824023505121}",25,9,-23.951320045692157,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.002, 'e': 0.9762857097579093}",30,17,-36.613638337361365,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 0}",1
13,False,"{'a': 0.002, 'e': 0.9743350896087494}",35,0,-183.43383748265978,"{0: 19, 1: 2, 2: 10, 3: 3, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9723883668012469}",20,6,-46.294011952691385,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.002, 'e': 0.9704455335485082}",30,0,-138.25075481489694,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9685065820791976}",25,0,-128.86371491120343,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.002, 'e': 0.9665715046375066}",25,0,-105.44577637546837,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.002, 'e': 0.9646402934831231}",25,0,-175.440619783741,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
19,False,"{'a': 0.002, 'e': 0.9627129408911995}",30,2,-114.13901877217327,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 1}",1
20,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,0,-68.92918432710437,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.002, 'e': 0.9588697805724845}",30,0,-152.05377265966536,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
22,False,"{'a': 0.002, 'e': 0.9569539574730467}",20,0,-76.83421038024474,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.002, 'e': 0.9550419621907147}",30,0,-119.29685945936916,"{0: 16, 1: 4, 2: 8, 3: 2, 4: 0}",0
24,False,"{'a': 0.002, 'e': 0.9531337870775047}",20,0,-61.70689417005342,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
25,False,"{'a': 0.002, 'e': 0.951229424500714}",20,0,-128.0698085017391,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.002, 'e': 0.9493288668428895}",20,0,-118.49913056515712,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
27,False,"{'a': 0.002, 'e': 0.9474321065017983}",20,0,-46.763036736511296,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
28,False,"{'a': 0.002, 'e': 0.9455391358903963}",20,0,-49.998644331538294,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
29,False,"{'a': 0.002, 'e': 0.9436499474367985}",20,0,-44.35067571859157,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
30,False,"{'a': 0.002, 'e': 0.9417645335842487}",25,8,-105.44731167340352,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 2}",1
31,False,"{'a': 0.002, 'e': 0.9398828867910889}",30,0,-146.76580739284046,"{0: 19, 1: 0, 2: 7, 3: 3, 4: 1}",0
