trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.90460806400883,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.2231373486098,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.9981334879971,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.37432906787136,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.8435012625351,"{0: 8, 1: 5, 2: 7, 3: 4, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.27922806100602,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-211.53007682274938,"{0: 21, 1: 2, 2: 7, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.15617190190001,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.18538382563497,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-40.72844537282165,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.39110995185165,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.7003860935958,"{0: 16, 1: 2, 2: 10, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.77138085519744,"{0: 15, 1: 0, 2: 8, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.22605589225914,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.97511530473061,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.08182417134238,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.5925354146157,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.95893508196667,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,9,-52.56831939264671,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",35,2,-70.25885687448648,"{0: 23, 1: 4, 2: 4, 3: 2, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-169.64379962443127,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-143.90594322045516,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-240.63597386504003,"{0: 15, 1: 2, 2: 7, 3: 3, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-84.53832409770972,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-166.98170823381503,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-44.75031311836747,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-53.73692177007659,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.33795249641373,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-95.24716265545106,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.432696853971834,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
